"URI","Label","Definition","Notation","Status","AcceptedDate"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/B0729","Mining of other non-ferrous metal ores","","B0729","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/B08","Other mining and quarrying","","B08","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/B081","Quarrying of stone, sand and clay","","B081","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/B0811","Quarrying of ornamental and building stone, limestone, gypsum, chalk and slate","","B0811","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/B0812","Operation of gravel and sand pits; mining of clays and kaolin","","B0812","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/B089","Mining and quarrying n.e.c.","","B089","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/B0891","Mining of chemical and fertiliser minerals","","B0891","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/B0892","Extraction of peat","","B0892","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/B0893","Extraction of salt","","B0893","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/B0899","Other mining and quarrying n.e.c.","","B0899","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/B09","Mining support service activities","","B09","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/B091","Support activities for petroleum and natural gas extraction","","B091","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/B0910","Support activities for petroleum and natural gas extraction","","B0910","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/B099","Support activities for other mining and quarrying","","B099","valid","2013-07-25"
