AnzahlFall,Datum,FID,IstErkrankungsbeginn
1.0,2020-03-04 01:00:00,12832535,1.0
1.0,2020-03-04 01:00:00,12833283,1.0
3.0,2020-03-04 01:00:00,12835153,1.0
2.0,2020-03-04 01:00:00,12836649,1.0
1.0,2020-03-04 01:00:00,12837397,1.0
1.0,2020-03-04 01:00:00,12838145,1.0
1.0,2020-03-04 01:00:00,12838519,1.0
1.0,2020-03-04 01:00:00,12839267,1.0
7.0,2020-03-04 01:00:00,12840763,1.0
3.0,2020-03-04 01:00:00,12841137,1.0
6.0,2020-03-04 01:00:00,12841511,1.0
7.0,2020-03-04 01:00:00,12841885,1.0
2.0,2020-03-04 01:00:00,12842633,1.0
2.0,2020-03-04 01:00:00,12843381,1.0
1.0,2020-03-04 01:00:00,12843755,1.0
1.0,2020-03-04 01:00:00,12844129,1.0
1.0,2020-03-04 01:00:00,12844877,1.0
1.0,2020-03-04 01:00:00,12845625,1.0
1.0,2020-03-04 01:00:00,12846373,1.0
1.0,2020-03-04 01:00:00,12847495,1.0
1.0,2020-03-04 01:00:00,12847869,1.0
1.0,2020-03-04 01:00:00,12848991,1.0
2.0,2020-03-04 01:00:00,12849365,1.0
1.0,2020-03-04 01:00:00,12850113,1.0
1.0,2020-03-04 01:00:00,12852357,1.0
2.0,2020-03-04 01:00:00,12852731,1.0
1.0,2020-03-04 01:00:00,12853105,1.0
1.0,2020-03-04 01:00:00,12853479,1.0
1.0,2020-03-04 01:00:00,12855723,1.0
1.0,2020-03-04 01:00:00,12856845,1.0
1.0,2020-03-04 01:00:00,12857219,1.0
1.0,2020-03-04 01:00:00,12858715,1.0
2.0,2020-03-04 01:00:00,12859089,1.0
1.0,2020-03-04 01:00:00,12864325,1.0
1.0,2020-03-04 01:00:00,12864699,1.0
1.0,2020-03-04 01:00:00,12865447,1.0
1.0,2020-03-04 01:00:00,12866569,1.0
3.0,2020-03-04 01:00:00,12868813,1.0
1.0,2020-03-04 01:00:00,12869935,1.0
1.0,2020-03-04 01:00:00,12872179,1.0
1.0,2020-03-04 01:00:00,12872927,1.0
1.0,2020-03-05 01:00:00,12720337,1.0
2.0,2020-03-05 01:00:00,12721459,1.0
1.0,2020-03-05 01:00:00,12722207,1.0
1.0,2020-03-05 01:00:00,12722581,1.0
1.0,2020-03-05 01:00:00,12722955,1.0
16.0,2020-03-05 01:00:00,12725199,1.0
1.0,2020-03-05 01:00:00,12726321,1.0
1.0,2020-03-05 01:00:00,12727069,1.0
6.0,2020-03-05 01:00:00,12729313,1.0
1.0,2020-03-05 01:00:00,12729687,1.0
1.0,2020-03-05 01:00:00,12730435,1.0
1.0,2020-03-05 01:00:00,12730809,1.0
1.0,2020-03-05 01:00:00,12731557,1.0
2.0,2020-03-05 01:00:00,12731931,1.0
1.0,2020-03-05 01:00:00,12731932,0.0
2.0,2020-03-05 01:00:00,12734175,1.0
1.0,2020-03-05 01:00:00,12735671,1.0
2.0,2020-03-05 01:00:00,12736793,1.0
2.0,2020-03-05 01:00:00,12737167,1.0
1.0,2020-03-05 01:00:00,12737915,1.0
1.0,2020-03-05 01:00:00,12738289,1.0
2.0,2020-03-05 01:00:00,12739037,1.0
2.0,2020-03-05 01:00:00,12742403,1.0
2.0,2020-03-05 01:00:00,12743151,1.0
