AnzahlFall,Datum,FID,IstErkrankungsbeginn
1.0,2020-05-16 02:00:00,12817721,1.0
3.0,2020-05-16 02:00:00,12818096,0.0
1.0,2020-05-16 02:00:00,12818843,1.0
1.0,2020-05-16 02:00:00,12819217,1.0
2.0,2020-05-16 02:00:00,12820339,1.0
3.0,2020-05-16 02:00:00,12821835,1.0
6.0,2020-05-16 02:00:00,12821836,0.0
1.0,2020-05-16 02:00:00,12822583,1.0
4.0,2020-05-16 02:00:00,12822584,0.0
1.0,2020-05-16 02:00:00,12822958,0.0
2.0,2020-05-16 02:00:00,12823705,1.0
3.0,2020-05-16 02:00:00,12823706,0.0
1.0,2020-05-16 02:00:00,12824827,1.0
2.0,2020-05-16 02:00:00,12825576,0.0
1.0,2020-05-16 02:00:00,12826323,1.0
2.0,2020-05-16 02:00:00,12826697,1.0
1.0,2020-05-16 02:00:00,12829690,0.0
3.0,2020-05-16 02:00:00,12830438,0.0
1.0,2020-05-16 02:00:00,12831934,0.0
6.0,2020-05-16 02:00:00,12832682,0.0
1.0,2020-05-16 02:00:00,12834177,1.0
1.0,2020-05-16 02:00:00,12836047,1.0
1.0,2020-05-16 02:00:00,12837917,1.0
2.0,2020-05-16 02:00:00,12837918,0.0
1.0,2020-05-16 02:00:00,12838666,0.0
4.0,2020-05-16 02:00:00,12841283,1.0
4.0,2020-05-16 02:00:00,12841657,1.0
2.0,2020-05-16 02:00:00,12842031,1.0
2.0,2020-05-16 02:00:00,12842405,1.0
2.0,2020-05-16 02:00:00,12842406,0.0
1.0,2020-05-16 02:00:00,12842779,1.0
1.0,2020-05-16 02:00:00,12842780,0.0
1.0,2020-05-16 02:00:00,12843153,1.0
1.0,2020-05-16 02:00:00,12843527,1.0
1.0,2020-05-16 02:00:00,12844275,1.0
1.0,2020-05-16 02:00:00,12844276,0.0
2.0,2020-05-16 02:00:00,12844649,1.0
1.0,2020-05-16 02:00:00,12845023,1.0
1.0,2020-05-16 02:00:00,12848015,1.0
