"","date","region","country","geo","eurostat_total_population_2019","cases","cases_national","new_cases","new_cases_national","sum_pop","measure_H1_H2_cases","measure_H3_cases","cases_national_JHU","new_cases_national_JHU","past_average_new_cases_national_JHU","measure_H1_H2_cases_JHU","deaths","deaths_national","new_deaths","new_deaths_national","deaths_pop_sub","deaths_pop_nat","past_average_new_deaths","past_average_new_deaths_national","measure_H1_H2_deaths","measure_H3_deaths_a","measure_H3_deaths_b"
"128",2020-01-02,"Sardegna","Italy","ITG2",1639591,0,0,0,0,59144326,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"129",2020-01-02,"Sicilia","Italy","ITG1",4999891,0,0,0,0,59144326,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"130",2020-01-02,"Toscana","Italy","ITI1",3729641,0,0,0,0,59144326,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"131",2020-01-02,"Trentino-Alto Adige","Italy",NA,1072276,0,0,0,0,59144326,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"132",2020-01-02,"Umbria","Italy","ITI2",882015,0,0,0,0,59144326,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"133",2020-01-02,"Valle d'Aosta","Italy","ITC2",125666,0,0,0,0,59144326,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"134",2020-01-02,"Veneto","Italy","ITH3",4905854,0,0,0,0,59144326,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"135",2020-01-02,"Aargau","Switzerland","CH033",678207,0,0,0,0,8544527,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"136",2020-01-02,"Appenzell Ausserrhoden","Switzerland","CH053",55234,0,0,0,0,8544527,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"137",2020-01-02,"Appenzell Innerrhoden","Switzerland","CH054",16145,0,0,0,0,8544527,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"138",2020-01-02,"Basel-City","Switzerland","CH031",194766,0,0,0,0,8544527,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"139",2020-01-02,"Basel-Landschaft","Switzerland","CH032",288132,0,0,0,0,8544527,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"140",2020-01-02,"Bern","Switzerland","CH021",1034977,0,0,0,0,8544527,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"141",2020-01-02,"Fribourg","Switzerland","CH022",318714,0,0,0,0,8544527,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"142",2020-01-02,"Geneva","Switzerland","CH013",499480,0,0,0,0,8544527,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"143",2020-01-02,"Glarus","Switzerland","CH051",40403,0,0,0,0,8544527,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"144",2020-01-02,"Grisons","Switzerland","CH056",198379,0,0,0,0,8544527,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"145",2020-01-02,"Jura","Switzerland","CH025",73419,0,0,0,0,8544527,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"146",2020-01-02,"Lucerne","Switzerland","CH061",409557,0,0,0,0,8544527,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"147",2020-01-02,"Neuchatel","Switzerland","CH024",176850,0,0,0,0,8544527,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"148",2020-01-02,"Nidwalden","Switzerland","CH065",43223,0,0,0,0,8544527,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"149",2020-01-02,"Obwalden","Switzerland","CH064",37841,0,0,0,0,8544527,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
