date,region,cases,cases_national,country,eurostat_total_population_2019,code,new_cases,new_cases_national,sum_pop,cases_pop_sub,cases_pop_nat,ratio_pop_cum,ratio_cum,ratio_new,ratio_cum2,ratio_new2
2020-01-04,Liguria,0,0,Italy,1550640,ITC3,0,0,59287270,0,0,0,NaN,NaN,NaN,NaN
2020-01-04,Lombardy,0,0,Italy,10060574,ITC4,0,0,59287270,0,0,0,NaN,NaN,NaN,NaN
2020-01-04,Molise,0,0,Italy,305617,ITF2,0,0,59287270,0,0,0,NaN,NaN,NaN,NaN
2020-01-04,Piedmont,0,0,Italy,4356406,ITC1,0,0,59287270,0,0,0,NaN,NaN,NaN,NaN
2020-01-04,Sardinia,0,0,Italy,1639591,ITG2,0,0,59287270,0,0,0,NaN,NaN,NaN,NaN
2020-01-04,Sicily,0,0,Italy,4999891,ITG1,0,0,59287270,0,0,0,NaN,NaN,NaN,NaN
2020-01-04,The Marches,0,0,Italy,1525271,ITI3,0,0,59287270,0,0,0,NaN,NaN,NaN,NaN
2020-01-04,Trentino-Alto Adige,0,0,Italy,NA,IT,0,0,59287270,NA,0,NA,NaN,NaN,NaN,NaN
2020-01-04,Tuscany,0,0,Italy,3729641,ITI1,0,0,59287270,0,0,0,NaN,NaN,NaN,NaN
2020-01-04,Umbria,0,0,Italy,882015,ITI2,0,0,59287270,0,0,0,NaN,NaN,NaN,NaN
2020-01-04,Veneto,0,0,Italy,4905854,ITH3,0,0,59287270,0,0,0,NaN,NaN,NaN,NaN
2020-01-04,Aargau,0,0,Switzerland,678207,CH033,0,0,8544527,0,0,0,NaN,NaN,NaN,NaN
2020-01-04,Appenzell Ausserrhoden,0,0,Switzerland,55234,CH053,0,0,8544527,0,0,0,NaN,NaN,NaN,NaN
2020-01-04,Appenzell Innerrhoden,0,0,Switzerland,16145,CH054,0,0,8544527,0,0,0,NaN,NaN,NaN,NaN
2020-01-04,Basel-City,0,0,Switzerland,194766,CH031,0,0,8544527,0,0,0,NaN,NaN,NaN,NaN
2020-01-04,Basel-Landschaft,0,0,Switzerland,288132,CH032,0,0,8544527,0,0,0,NaN,NaN,NaN,NaN
2020-01-04,Bern,0,0,Switzerland,1034977,CH021,0,0,8544527,0,0,0,NaN,NaN,NaN,NaN
2020-01-04,Fribourg,0,0,Switzerland,318714,CH022,0,0,8544527,0,0,0,NaN,NaN,NaN,NaN
2020-01-04,Geneva,0,0,Switzerland,499480,CH013,0,0,8544527,0,0,0,NaN,NaN,NaN,NaN
2020-01-04,Glarus,0,0,Switzerland,40403,CH051,0,0,8544527,0,0,0,NaN,NaN,NaN,NaN
2020-01-04,Grisons,0,0,Switzerland,198379,CH056,0,0,8544527,0,0,0,NaN,NaN,NaN,NaN
2020-01-04,Jura,0,0,Switzerland,73419,CH025,0,0,8544527,0,0,0,NaN,NaN,NaN,NaN
2020-01-04,Lucerne,0,0,Switzerland,409557,CH061,0,0,8544527,0,0,0,NaN,NaN,NaN,NaN
2020-01-04,Neuchatel,0,0,Switzerland,176850,CH024,0,0,8544527,0,0,0,NaN,NaN,NaN,NaN
2020-01-04,Nidwalden,0,0,Switzerland,43223,CH065,0,0,8544527,0,0,0,NaN,NaN,NaN,NaN
2020-01-04,Obwalden,0,0,Switzerland,37841,CH064,0,0,8544527,0,0,0,NaN,NaN,NaN,NaN
2020-01-04,Saint Gallen,0,0,Switzerland,507697,CH055,0,0,8544527,0,0,0,NaN,NaN,NaN,NaN
2020-01-04,Schaffhausen,0,0,Switzerland,81991,CH052,0,0,8544527,0,0,0,NaN,NaN,NaN,NaN
2020-01-04,Schwyz,0,0,Switzerland,159165,CH063,0,0,8544527,0,0,0,NaN,NaN,NaN,NaN
2020-01-04,Solothurn,0,0,Switzerland,273194,CH023,0,0,8544527,0,0,0,NaN,NaN,NaN,NaN
2020-01-04,Thurgau,0,0,Switzerland,276472,CH057,0,0,8544527,0,0,0,NaN,NaN,NaN,NaN
2020-01-04,Ticino,0,0,Switzerland,353343,CH070,0,0,8544527,0,0,0,NaN,NaN,NaN,NaN
