date,region,country,geo,eurostat_total_population_2019,deaths,deaths_national,new_deaths,new_deaths_national,sum_pop,deaths_pop_sub,deaths_pop_nat,ratio_pop_cum,ratio_cum,ratio_new,ratio_cum2,ratio_new2,rolling_average,past_average,rolling_average_new_deaths,past_average_new_deaths,past_average_new_deaths_national,measure_H1_H2_deaths,measure_H3_deaths_a,measure_H3_deaths_b
2020-01-02,Normandie,France,FRD,3313340,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-02,Nouvelle-Aquitaine,France,FRI,5986318,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-02,Occitanie,France,FRJ,5899209,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-02,Pays de la Loire,France,FRG,3787400,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-02,Provence-Alpes-Côte d'Azur,France,FRL,5048405,0,0,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-02,Baden-Wuerttemberg,Germany,DE1,11069533,0,0,0,0,83019213,0,0,0,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-02,Bavaria,Germany,DE2,13076721,0,0,0,0,83019213,0,0,0,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-02,Berlin,Germany,DE3,3644826,0,0,0,0,83019213,0,0,0,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-02,Brandenburg,Germany,DE4,2511917,0,0,0,0,83019213,0,0,0,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-02,Bremen,Germany,DE5,682986,0,0,0,0,83019213,0,0,0,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-02,Hamburg,Germany,DE6,1841179,0,0,0,0,83019213,0,0,0,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-02,Hesse,Germany,DE7,6265809,0,0,0,0,83019213,0,0,0,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-02,Lower Saxony,Germany,DE9,7982448,0,0,0,0,83019213,0,0,0,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-02,Mecklenburg-Vorpommern,Germany,DE8,1609675,0,0,0,0,83019213,0,0,0,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-02,North Rhine-Westphalia,Germany,DEA,17932651,0,0,0,0,83019213,0,0,0,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-02,Rheinland-Pfalz,Germany,DEB,4084844,0,0,0,0,83019213,0,0,0,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-02,Saarland,Germany,DEC,990509,0,0,0,0,83019213,0,0,0,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-02,Saxony,Germany,DED,4077937,0,0,0,0,83019213,0,0,0,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-02,Saxony-Anhalt,Germany,DEE,2208321,0,0,0,0,83019213,0,0,0,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-02,Schleswig-Holstein,Germany,DEF,2896712,0,0,0,0,83019213,0,0,0,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-02,Thuringia,Germany,DEG,2143145,0,0,0,0,83019213,0,0,0,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-02,Abruzzo,Italy,ITF1,1311580,0,0,0,0,59144326,0,0,0,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-02,Basilicata,Italy,ITF5,562869,0,0,0,0,59144326,0,0,0,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-02,Calabria,Italy,ITF6,1947131,0,0,0,0,59144326,0,0,0,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-02,Campania,Italy,ITF3,5801692,0,0,0,0,59144326,0,0,0,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-02,Emilia-Romagna,Italy,ITH5,4459477,0,0,0,0,59144326,0,0,0,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-02,Friuli Venezia Giulia,Italy,NA,NA,0,0,0,0,59144326,NA,0,NA,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-02,Lazio,Italy,ITI4,5879082,0,0,0,0,59144326,0,0,0,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-02,Liguria,Italy,ITC3,1550640,0,0,0,0,59144326,0,0,0,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-02,Lombardia,Italy,ITC4,10060574,0,0,0,0,59144326,0,0,0,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA
