AnzahlFall,FID,Meldedatum,NeuerFall
2.0,11534786.0,2020-03-10 01:00:00,0.0
5.0,11535134.0,2020-03-10 01:00:00,0.0
6.0,11535482.0,2020-03-10 01:00:00,0.0
10.0,11535830.0,2020-03-10 01:00:00,0.0
1.0,11536178.0,2020-03-10 01:00:00,0.0
2.0,11536526.0,2020-03-10 01:00:00,0.0
2.0,11536874.0,2020-03-10 01:00:00,0.0
3.0,11537222.0,2020-03-10 01:00:00,0.0
66.0,11537918.0,2020-03-10 01:00:00,0.0
1.0,11538266.0,2020-03-10 01:00:00,0.0
3.0,11538614.0,2020-03-10 01:00:00,0.0
1.0,11538962.0,2020-03-10 01:00:00,0.0
1.0,11539658.0,2020-03-10 01:00:00,0.0
1.0,11540006.0,2020-03-10 01:00:00,0.0
2.0,11540354.0,2020-03-10 01:00:00,0.0
5.0,11540702.0,2020-03-10 01:00:00,0.0
2.0,11541050.0,2020-03-10 01:00:00,0.0
2.0,11541398.0,2020-03-10 01:00:00,0.0
4.0,11541746.0,2020-03-10 01:00:00,0.0
1.0,11542094.0,2020-03-10 01:00:00,0.0
1.0,11542790.0,2020-03-10 01:00:00,0.0
7.0,11543486.0,2020-03-10 01:00:00,0.0
4.0,11543834.0,2020-03-10 01:00:00,0.0
2.0,11544182.0,2020-03-10 01:00:00,0.0
2.0,11544530.0,2020-03-10 01:00:00,0.0
2.0,11544878.0,2020-03-10 01:00:00,0.0
2.0,11545226.0,2020-03-10 01:00:00,0.0
1.0,11546270.0,2020-03-10 01:00:00,0.0
