country,date,type,centDegStd,hubStd,hubWt,centDegRaw,hubRaw,centDegTheory,hubTheory
Switzerland,2020-02-28,Lockdown,0,0,0,0,0,0.4807692307692308,25.999999999999986
Switzerland,2020-02-29,Lockdown,0,0,0,0,0,0.4807692307692308,25.999999999999986
Switzerland,2020-03-01,Lockdown,0,0,0,0,0,0.4807692307692308,25.999999999999986
Switzerland,2020-03-02,Lockdown,0,0,0,0,0,0.4807692307692308,25.999999999999986
Switzerland,2020-03-03,Lockdown,0,0,0,0,0,0.4807692307692308,25.999999999999986
Switzerland,2020-03-04,Lockdown,0,0,0,0,0,0.4807692307692308,25.999999999999986
Switzerland,2020-03-05,Lockdown,0,0,0,0,0,0.4807692307692308,25.999999999999986
Switzerland,2020-03-06,Lockdown,0.08,0.038461538461538484,1,0.038461538461538464,1,0.4807692307692308,25.999999999999986
Switzerland,2020-03-07,Lockdown,0.08,0.038461538461538484,1,0.038461538461538464,1,0.4807692307692308,25.999999999999986
Switzerland,2020-03-08,Lockdown,0.08,0.038461538461538484,1,0.038461538461538464,1,0.4807692307692308,25.999999999999986
Switzerland,2020-03-09,Lockdown,0.08,0.038461538461538484,1,0.038461538461538464,1,0.4807692307692308,25.999999999999986
Switzerland,2020-03-10,Lockdown,0.08,0.038461538461538484,1,0.038461538461538464,1,0.4807692307692308,25.999999999999986
Switzerland,2020-03-11,Lockdown,0.08,0.038461538461538484,1,0.038461538461538464,1,0.4807692307692308,25.999999999999986
Switzerland,2020-03-12,Lockdown,0.08,0.038461538461538484,1,0.038461538461538464,1,0.4807692307692308,25.999999999999986
Switzerland,2020-03-13,Lockdown,0.07384615384615384,0.038461538461538484,1,0.03550295857988166,1,0.4807692307692308,25.999999999999986
Switzerland,2020-03-14,Lockdown,0.07384615384615384,0.038461538461538484,1,0.03550295857988166,1,0.4807692307692308,25.999999999999986
Switzerland,2020-03-15,Lockdown,0.07384615384615384,0.0384615384615385,0.9999999999999996,0.03550295857988166,1.0000000000000004,0.4807692307692308,25.999999999999986
Switzerland,2020-03-16,Lockdown,0.06769230769230769,0.038461538461538484,1.0000000000000002,0.03254437869822485,1,0.4807692307692308,25.999999999999986
Switzerland,2020-03-17,Lockdown,0.06769230769230769,0.038461538461538484,1,0.03254437869822485,1,0.4807692307692308,25.999999999999986
Switzerland,2020-03-18,Lockdown,0.06769230769230769,0.03846153846153849,1,0.03254437869822485,1.0000000000000002,0.4807692307692308,25.999999999999986
Switzerland,2020-03-19,Lockdown,0.06769230769230769,0.03846153846153849,1,0.03254437869822485,1.0000000000000002,0.4807692307692308,25.999999999999986
Switzerland,2020-03-20,Lockdown,0.06769230769230769,0.038461538461538484,1,0.03254437869822485,1,0.4807692307692308,25.999999999999986
Switzerland,2020-03-21,Lockdown,0.06769230769230769,0.038461538461538484,1,0.03254437869822485,1,0.4807692307692308,25.999999999999986
Switzerland,2020-03-22,Lockdown,0.06769230769230769,0.038461538461538484,1,0.03254437869822485,1,0.4807692307692308,25.999999999999986
Switzerland,2020-03-23,Lockdown,0.06769230769230769,0.03846153846153849,0.9999999999999998,0.03254437869822485,1.0000000000000002,0.4807692307692308,25.999999999999986
Switzerland,2020-03-24,Lockdown,0.06769230769230769,0.03846153846153849,1,0.03254437869822485,1.0000000000000002,0.4807692307692308,25.999999999999986
Switzerland,2020-03-25,Lockdown,0.06769230769230769,0.038461538461538484,1,0.03254437869822485,1,0.4807692307692308,25.999999999999986
