"","country","date","hhi_cumulative","hhi_new"
"355","Germany",2020-05-30,1.15832056927862,1.28938545918725
"356","Germany",2020-05-31,1.15820382546174,1.10134927622285
"357","Germany",2020-06-01,1.15809325705606,1.12553166351607
"358","Germany",2020-06-02,1.15802265389068,1.19196060326254
"359","Germany",2020-06-03,1.15823295968462,1.63875418345741
"360","Germany",2020-06-04,1.15838592299357,1.33378787509842
"361","Germany",2020-06-05,1.15821450240937,1.14348715639439
"362","Germany",2020-06-06,1.15772536669274,1.05339458427908
"363","Germany",2020-06-07,1.15747586501923,1.05218888888889
"364","Germany",2020-06-08,1.15727572030005,1.11279397273454
"365","Germany",2020-06-09,1.15716703823101,1.17701400300744
"366","Germany",2020-06-10,1.15788506682935,164.0390625
"367","Germany",2020-06-11,1.15795194340364,1.42151885438185
"368","Germany",2020-06-12,1.15748419506516,1.06076687920342
"369","Germany",2020-06-13,1.15780866337245,12.1695419393218
"370","Germany",2020-06-14,1.15766780183476,1.11174425802765
"371","Germany",2020-06-15,1.15779235811114,1.50907198096371
"372","Germany",2020-06-16,1.15759387780242,1.17167436134195
"373","Germany",2020-06-17,1.15867629934531,4.15873579545455
"374","Germany",2020-06-18,1.15748681565331,1.05367518277196
"375","Germany",2020-06-19,1.15806967169847,2.06029510511183
"376","Germany",2020-06-20,1.15838283086452,1.74379726970888
"377","Germany",2020-06-21,1.1578626460709,1.07247712497655
"378","Germany",2020-06-22,1.15791045875589,1.36813459287201
"379","Germany",2020-06-23,1.15756397551252,1.13315080166646
"380","Germany",2020-06-24,1.15776792463215,1.4446334076831
"381","Germany",2020-06-25,1.15790675844468,1.36338
"382","Germany",2020-06-26,1.15784085809683,1.19025609135621
"383","Germany",2020-06-27,1.15775503351042,1.18295860380495
"384","Germany",2020-06-28,1.15775745265811,1.27011317338162
"385","Germany",2020-06-29,1.15790896209466,1.41806717514635
"386","Germany",2020-06-30,1.15807083033455,1.31463614757809
"387","Germany",2020-07-01,1.1580368998689,1.19428698060942
"388","Germany",2020-07-02,1.15803512957614,1.23002342558531
"389","Germany",2020-07-03,1.15810730138604,1.24338488994646
"390","Germany",2020-07-04,1.15795871131438,1.12246743435361
"391","Germany",2020-07-05,1.15767411974267,1.04670295857988
"392","Germany",2020-07-06,1.15732195360211,1.05892080456196
"393","Germany",2020-07-07,1.15755557191924,1.44237612569212
"394","Germany",2020-07-08,1.15773126363756,1.36425325085217
"395","Germany",2020-07-09,1.15797614192413,1.41865488355774
"396","Germany",2020-07-10,1.15817947754804,1.37849234672922
"397","Germany",2020-07-11,1.15807825772435,1.14307424944944
"398","Germany",2020-07-12,1.15797016704925,1.10736961451247
"399","Germany",2020-07-13,1.15805615671742,1.25718941295636
"400","Germany",2020-07-14,1.15836043210871,1.51568735559756
"401","Germany",2020-07-15,1.15858282239435,1.34911550468262
"402","Germany",2020-07-16,1.15869448129258,1.27067602040816
"403","Germany",2020-07-17,1.15861054825621,1.15788715486194
"404","Germany",2020-07-18,1.15864657280386,1.23198379730093
"405","Germany",2020-07-19,1.15848157780064,1.07613032959437
"406","Germany",2020-07-20,1.15825370891216,1.10461074403907
"407","Germany",2020-07-21,1.1584341242766,1.32598396501458
"408","Germany",2020-07-22,1.15862493566972,1.30399928315642
"409","Italy",2020-01-01,0,0
"410","Italy",2020-01-02,0,0
"411","Italy",2020-01-03,0,0
"412","Italy",2020-01-04,0,0
"413","Italy",2020-01-05,0,0
"414","Italy",2020-01-06,0,0
"415","Italy",2020-01-07,0,0
"416","Italy",2020-01-08,0,0
"417","Italy",2020-01-09,0,0
"418","Italy",2020-01-10,0,0
"419","Italy",2020-01-11,0,0
"420","Italy",2020-01-12,0,0
"421","Italy",2020-01-13,0,0
"422","Italy",2020-01-14,0,0
"423","Italy",2020-01-15,0,0
"424","Italy",2020-01-16,0,0
"425","Italy",2020-01-17,0,0
"426","Italy",2020-01-18,0,0
"427","Italy",2020-01-19,0,0
"428","Italy",2020-01-20,0,0
"429","Italy",2020-01-21,0,0
"430","Italy",2020-01-22,0,0
"431","Italy",2020-01-23,0,0
"432","Italy",2020-01-24,0,0
"433","Italy",2020-01-25,0,0
"434","Italy",2020-01-26,0,0
"435","Italy",2020-01-27,0,0
"436","Italy",2020-01-28,0,0
"437","Italy",2020-01-29,0,0
"438","Italy",2020-01-30,0,0
"439","Italy",2020-01-31,1,1
"440","Italy",2020-02-01,1,0
"441","Italy",2020-02-02,1,0
"442","Italy",2020-02-03,1,0
"443","Italy",2020-02-04,1,0
"444","Italy",2020-02-05,1,0
"445","Italy",2020-02-06,1,0
"446","Italy",2020-02-07,1,1
"447","Italy",2020-02-08,1,0
"448","Italy",2020-02-09,1,0
"449","Italy",2020-02-10,1,0
"450","Italy",2020-02-11,1,0
"451","Italy",2020-02-12,1,0
"452","Italy",2020-02-13,1,0
"453","Italy",2020-02-14,1,0
"454","Italy",2020-02-15,1,0
"455","Italy",2020-02-16,1,0
"456","Italy",2020-02-17,1,0
"457","Italy",2020-02-18,1,0
"458","Italy",2020-02-19,1,0
"459","Italy",2020-02-20,1,0
"460","Italy",2020-02-21,1,1
"461","Italy",2020-02-22,1,1
"462","Italy",2020-02-23,1,1
"463","Italy",2020-02-24,1.59142655555767,6.66380569758948
"464","Italy",2020-02-25,1.58020523899541,1.55532431494971
"465","Italy",2020-02-26,1.36045202695788,1.09614824310938
"466","Italy",2020-02-27,1.43027562496358,1.6181011665523
"467","Italy",2020-02-28,1.41395534047561,1.37493783271013
"468","Italy",2020-02-29,1.36479396157135,1.25163194444444
"469","Italy",2020-03-01,1.39174863989719,1.46106206844885
"470","Italy",2020-03-02,1.42598574384073,1.64651516705995
"471","Italy",2020-03-03,1.41404158847183,1.36921383705723
"472","Italy",2020-03-04,1.39385570264101,1.31961087619606
"473","Italy",2020-03-05,1.38686163361274,1.36347341133419
"474","Italy",2020-03-06,1.36667802566998,1.28050634082513
"475","Italy",2020-03-07,1.37929017507207,1.43988362768318
"476","Italy",2020-03-08,1.36135192415972,1.30107490170992
"477","Italy",2020-03-09,1.38933294061887,1.52527043000314
"478","Italy",2020-03-10,1.36048685017906,1.15980237373616
"479","Italy",2020-03-11,1.37213789203402,1.43176530555598
"480","Italy",2020-03-12,1.36299747749556,1.32751140790697
"481","Italy",2020-03-13,1.33986169485526,1.22624105374129
"482","Italy",2020-03-14,1.33506881658096,1.31358150116661
"483","Italy",2020-03-15,1.31804050550385,1.23124665389002
"484","Italy",2020-03-16,1.3056685107968,1.2283483550828
"485","Italy",2020-03-17,1.29673411924464,1.23567605236395
"486","Italy",2020-03-18,1.27999429809059,1.18180961937129
"487","Italy",2020-03-19,1.26886533024519,1.20540265877843
"488","Italy",2020-03-20,1.25900299541274,1.1989667616241
"489","Italy",2020-03-21,1.26067431016329,1.27447417444133
"490","Italy",2020-03-22,1.24733732911251,1.14964520469955
"491","Italy",2020-03-23,1.2398459803959,1.17113167525932
"492","Italy",2020-03-24,1.23513243393872,1.18637633615068
"493","Italy",2020-03-25,1.22814854179767,1.15250673258646
"494","Italy",2020-03-26,1.2261962223109,1.20421348648235
"495","Italy",2020-03-27,1.22481950331102,1.20797435442795
"496","Italy",2020-03-28,1.22072405382629,1.16837766691037
"497","Italy",2020-03-29,1.21574784268551,1.14335173757928
"498","Italy",2020-03-30,1.2114980943941,1.13255076969974
"499","Italy",2020-03-31,1.20725469369045,1.12900235219147
"500","Italy",2020-04-01,1.20491401061905,1.16099346829154
"501","Italy",2020-04-02,1.20113811787571,1.13192310459957
"502","Italy",2020-04-03,1.19883995324847,1.1495216134353
"503","Italy",2020-04-04,1.19728897626586,1.16935684191264
"504","Italy",2020-04-05,1.19545303163075,1.15329783524202
"505","Italy",2020-04-06,1.19391576445959,1.15142801931412
"506","Italy",2020-04-07,1.19184984869513,1.12515536481374
"507","Italy",2020-04-08,1.190004549017,1.13909306596526
"508","Italy",2020-04-09,1.1890961028852,1.16671936291928
"509","Italy",2020-04-10,1.18796705575969,1.15341482899767
"510","Italy",2020-04-11,1.18720244815513,1.1785592718333
"511","Italy",2020-04-12,1.18694222956352,1.18229380170067
"512","Italy",2020-04-13,1.1872440807884,1.20652877273232
"513","Italy",2020-04-14,1.18686373914033,1.17777905584468
"514","Italy",2020-04-15,1.18626137977942,1.16417590658311
"515","Italy",2020-04-16,1.18474755343315,1.15042812106437
"516","Italy",2020-04-17,1.18395010115578,1.1598595333893
"517","Italy",2020-04-18,1.1838882352156,1.18829677098232
"518","Italy",2020-04-19,1.183049160428,1.1516268106416
"519","Italy",2020-04-20,1.18273049043618,1.16137777589155
"520","Italy",2020-04-21,1.18272156259317,1.19619074525062
"521","Italy",2020-04-22,1.18272962322181,1.19865051202353
"522","Italy",2020-04-23,1.18305266830835,1.21107031878007
"523","Italy",2020-04-24,1.1832056902409,1.20674422811696
"524","Italy",2020-04-25,1.18290470757494,1.18224107538383
"525","Italy",2020-04-26,1.1831306352562,1.21049862098998
"526","Italy",2020-04-27,1.18299309108638,1.1761070406905
"527","Italy",2020-04-28,1.18338196429403,1.22677796783876
"528","Italy",2020-04-29,1.18355407881898,1.2072493517023
"529","Italy",2020-04-30,1.1834510647746,1.18643276535905
"530","Italy",2020-05-01,1.1835918393362,1.20601259962836
"531","Italy",2020-05-02,1.18326708036921,1.17769639889197
"532","Italy",2020-05-03,1.18336388492826,1.20225820379294
